Kyiv,Kyivska oblast,admin
Kharkiv,Kharkivska oblast,admin
Odesa,Odeska oblast,admin
Dnipro,Dnipropetrovska oblast,admin
Donetsk,Donetska oblast,admin
Zaporizhzhia,Zaporizka oblast,admin
Lviv,Lvivska oblast,admin
Kryvyi Rih,Dnipropetrovska oblast,minor
Sevastopol,Krym,admin
Mykolaiv,Mykolaivska oblast,admin
Mariupol,Donetska oblast,minor
Luhansk,Luhanska oblast,admin
Vinnytsia,Vinnytska oblast,admin
Makiivka,Donetska oblast,minor
Simferopol,Krym,admin
Poltava,Poltavska oblast,admin
Chernihiv,Chernihivska oblast,admin
Kherson,Khersonska oblast,admin
Cherkasy,Cherkaska oblast,admin
Khmelnytskyi,Khmelnytska oblast,admin
Chernivtsi,Chernivetska oblast,admin
Sumy,Sumska oblast,admin
Zhytomyr,Zhytomyrska oblast,admin
Horlivka,Donetska oblast,minor
Rivne,Rivnenska oblast,admin
Ivano-Frankivsk,Ivano-Frankivska oblast,admin
Kamianske,Dnipropetrovska oblast,minor
Kropyvnytskyi,Kirovohradska oblast,admin
Ternopil,Ternopilska oblast,admin
Kremenchuk,Poltavska oblast,minor
Lutsk,Volynska oblast,admin
Bila Tserkva,Kyivska oblast,minor
Kramatorsk,Donetska oblast,minor
Melitopol,Zaporizka oblast,minor
Sievierodonetsk,Luhanska oblast,minor
Kerch,Krym,minor
Drohobych,Lvivska oblast,minor
Khrustalnyi,Luhanska oblast,minor
Uzhhorod,Zakarpatska oblast,admin
Berdiansk,Zaporizka oblast,minor
Sloviansk,Donetska oblast,minor
Nikopol,Dnipropetrovska oblast,minor
Brovary,Kyivska oblast,minor
Yevpatoriia,Krym,minor
Pavlohrad,Dnipropetrovska oblast,minor
Alchevsk,Luhanska oblast,minor
Konotop,Sumska oblast,minor
Kamianets-Podilskyi,Khmelnytska oblast,minor
Lysychansk,Luhanska oblast,minor
Dovzhansk,Luhanska oblast,minor
Mukacheve,Zakarpatska oblast,minor
Uman,Cherkaska oblast,minor
Chervonohrad,Lvivska oblast,minor
Yalta,Krym,minor
Yenakiieve,Donetska oblast,minor
Bakhmut,Donetska oblast,minor
Stakhanov,Luhanska oblast,minor
Nizhyn,Chernihivska oblast,minor
Kostiantynivka,Donetska oblast,minor
Fedosiia,Krym,minor
Kovel,Volynska oblast,minor
Smila,Cherkaska oblast,minor
Korosten,Zhytomyrska oblast,minor
Pokrovsk,Donetska oblast,minor
